id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7006634400150005914600060103,35.733239,-3.5939543,No class,-1,-1,-1
7005783300150005914600060103,37.08334,-5.4767635,No class,-1,-1,-1
7005793700150005914600060103,36.940639,-5.3198633,No class,-1,-1,-1
7005796200150005914600060103,36.921866,-5.2105223,No class,-1,-1,-1
7005794600150005914600060103,36.997296,-5.1970663,No class,-1,-1,-1
7005787100150005914600060103,37.11188,-5.2676708,No class,-1,-1,-1
7006012900150005914600060103,37.090108,-5.165526,No class,-1,-1,-1
7006043900150005914600060103,36.968892,-5.0246581,No class,-1,-1,-1
7006015200150005914600060103,37.056661,-5.0614988,No class,-1,-1,-1
7006015600150005914600060103,37.114875,-5.0398612,No class,-1,-1,-1
7006045300150005914600060103,37.078838,-4.926714,No class,-1,-1,-1
7006050800150005914600060103,36.977583,-4.7598514,No class,-1,-1,-1
7006051800150005914600060103,37.038017,-4.7323308,No class,-1,-1,-1
7006061200150005914600060103,36.930515,-4.5930957,No class,-1,-1,-1
7006062100150005914600060103,36.871816,-4.5410611,No class,-1,-1,-1
7006074600150005914600060103,36.999566,-4.4610492,No class,-1,-1,-1
7006058600150005914600060103,37.042807,-4.6337291,No class,-1,-1,-1
7006461300150005914600060103,36.881499,-4.4460296,No class,-1,-1,-1
7006461400150005914600060103,36.962278,-4.4089372,No class,-1,-1,-1
12137103200150005914600060103,34.945715,-5.9236799,No class,-1,-1,-1
12141091500150005914600060103,35.029608,-5.8847619,No class,-1,-1,-1
12141093400150005914600060103,35.354084,-6.2932251,No class,-1,-1,-1
11769729800150005914600060103,35.614697,-6.2160015,No class,-1,-1,-1
12141101400150005914600060103,35.585907,-6.1676301,No class,-1,-1,-1
12326740900150005914600060103,35.386454,-5.9120104,No class,-1,-1,-1
7005739400150005914600060103,35.640165,-5.8174293,No class,-1,-1,-1
12326731400150005914600060103,35.841345,-6.262842,No class,-1,-1,-1
11769699300150005914600060103,35.709507,-6.0268517,No class,-1,-1,-1
12141070100150005914600060103,35.745435,-5.9661795,No class,-1,-1,-1
12326768100150005914600060103,35.793431,-5.8507234,No class,-1,-1,-1
12326815700150005914600060103,36.204144,-6.0802568,No class,-1,-1,-1
12141156900150005914600060103,36.348708,-6.0983902,No class,-1,-1,-1
12141118400150005914600060103,36.528348,-5.8480236,No class,-1,-1,-1
11955520100150005914600060103,36.642196,-5.8224503,No class,-1,-1,-1
12322814400150005914600060103,34.662398,-5.5439865,No class,-1,-1,-1
12322815200150005914600060103,34.806822,-5.5175674,No class,-1,-1,-1
12137059300150005914600060103,34.853499,-5.8136593,No class,-1,-1,-1
12137102200150005914600060103,34.936676,-5.7631037,No class,-1,-1,-1
11951503500150005914600060103,34.647448,-5.3510068,No class,-1,-1,-1
11951516800150005914600060103,34.791692,-5.4919286,No class,-1,-1,-1
11765791700150005914600060103,34.798134,-5.3835178,No class,-1,-1,-1
11765762000150005914600060103,34.535691,-5.206798,No class,-1,-1,-1
11951524400150005914600060103,34.914629,-5.4774458,No class,-1,-1,-1
11955486400150005914600060103,35.364989,-5.7873619,No class,-1,-1,-1
11955503700150005914600060103,35.352974,-5.5508532,No class,-1,-1,-1
7005740900150005914600060103,35.500031,-5.8021681,No class,-1,-1,-1
12326745100150005914600060103,35.6477,-5.7825386,No class,-1,-1,-1
11769734400150005914600060103,35.586168,-5.5417411,No class,-1,-1,-1
11955503400150005914600060103,35.191322,-5.4047213,No class,-1,-1,-1
12141107100150005914600060103,35.427723,-5.3438368,No class,-1,-1,-1
12326772400150005914600060103,35.641438,-5.296313,No class,-1,-1,-1
11955506300150005914600060103,35.623452,-5.138394,No class,-1,-1,-1
11765778300150005914600060103,34.846562,-5.1284865,No class,-1,-1,-1
11765512700150005914600060103,34.886078,-4.7849914,No class,-1,-1,-1
12322575300150005914600060103,34.622864,-4.5580622,No class,-1,-1,-1
12322553800150005914600060103,34.844407,-4.6827377,No class,-1,-1,-1
11951262200150005914600060103,34.963556,-4.5712246,No class,-1,-1,-1
11955511600150005914600060103,35.112677,-5.0672346,No class,-1,-1,-1
11769707200150005914600060103,35.661491,-5.0644542,No class,-1,-1,-1
11769481800150005914600060103,35.238098,-4.4625881,No class,-1,-1,-1
11769728600150005914600060103,35.751216,-5.763167,No class,-1,-1,-1
12326734800150005914600060103,35.830962,-5.4515185,No class,-1,-1,-1
11769765800150005914600060103,36.149207,-5.6126454,No class,-1,-1,-1
12326792800150005914600060103,36.180036,-5.526878,No class,-1,-1,-1
12326793500150005914600060103,36.267283,-5.4714728,No class,-1,-1,-1
11955505300150005914600060103,35.959725,-5.2197304,No class,-1,-1,-1
